id,slug,naziv,vrsta,religija,konfesija,oib,sjediste,broj_zupa,povrsina_km2,stanovnika_na_podrucju,broj_naselja,broj_crkava,slaganje_s_osm_posto,izvori
40,baha-i-zajednica-hrvatske,Bahá´í Zajednica Hrvatske,zajednica,,,77554738576,Zagreb,3,,,,,,"[""datagovhr:vjerske-zajednice""]"
7,biskupija-krk,Biskupija Krk,biskupija,christian,roman_catholic,73790034362,Krk,51,1113.0,41523,124,63,,"[""datagovhr:katolicke-pravne-osobe""]"
4,biskupija-porecka-i-pulska,Biskupija Porečka i Pulska,biskupija,christian,roman_catholic,27165523454,Poreč - Parenzo,134,2760.7,195212,635,401,,"[""datagovhr:katolicke-pravne-osobe""]"
8,bjelovarsko-krizevacka-biskupija,Bjelovarsko-križevačka Biskupija,biskupija,christian,roman_catholic,93797991785,Bjelovar,58,3297.7,153752,600,139,96.9,"[""datagovhr:katolicke-pravne-osobe""]"
63,budisticka-zajednica-dharmaloka,Budistička Zajednica Dharmaloka,zajednica,buddhist,buddhist,52740244682,Zagreb,1,,,,,,"[""datagovhr:vjerske-zajednice""]"
61,bugarska-pravoslavna-crkva-u-hrvatskoj,Bugarska Pravoslavna Crkva u Hrvatskoj,zajednica,christian,bulgarian_orthodox,13256372897,Zagreb,2,,,,,,"[""datagovhr:vjerske-zajednice""]"
37,bozja-u-republici-hrvatskoj,Crkva Božja u Republici Hrvatskoj,zajednica,christian,protestant,43426200854,Vinkovci,7,,,,,,"[""datagovhr:vjerske-zajednice""]"
57,cjelovitog-evandelja,Crkva Cjelovitog Evanđelja,zajednica,christian,protestant,39639860527,Zagreb,6,,,,,,"[""datagovhr:vjerske-zajednice""]"
26,kristovih-ucenika,Crkva Kristovih Učenika,zajednica,christian,protestant,68334196238,Tenja,0,,,,,,"[""datagovhr:vjerske-zajednice""]"
62,radosne-vijesti,Crkva Radosne Vijesti,zajednica,christian,protestant,50863272755,Zagreb,0,,,,,,"[""datagovhr:vjerske-zajednice""]"
32,crnogorska-pravoslavna-crkva-u-hrvatskoj,Crnogorska Pravoslavna Crkva u Hrvatskoj,zajednica,christian,orthodox,,Osijek,0,,,,,,"[""datagovhr:vjerske-zajednice""]"
15,dubrovacka-biskupija-dioecesis-ragusina,Dubrovačka Biskupija - Dioecesis Ragusina,biskupija,christian,roman_catholic,,,61,1362.9,84315,174,130,,"[""datagovhr:katolicke-pravne-osobe""]"
27,evangelicka-crkva-valdese,Evangelička Crkva Valdese,zajednica,christian,evangelical,89301687892,Opatija,0,,,,,,"[""datagovhr:vjerske-zajednice""]"
51,evangelicka-crkva-u-republici-hrvatskoj,Evangelička Crkva u Republici Hrvatskoj,zajednica,christian,evangelical,60434742308,Zagreb,21,,,,,,"[""datagovhr:vjerske-zajednice""]"
60,evangelicka-metodisticka-crkva-u-hrvatskoj,Evangelička Metodistička Crkva u Hrvatskoj,zajednica,christian,evangelical,64504437183,Zagreb,2,,,,,,"[""datagovhr:vjerske-zajednice""]"
18,evandeoska-pentekostna-crkva-u-republici-hrvatskoj,Evanđeoska (pentekostna) Crkva u Republici Hrvatskoj,zajednica,christian,pentecostal,42767923576,Zagreb,71,,,,,,"[""datagovhr:vjerske-zajednice""]"
49,evandeoski-krscani,Evanđeoski Kršćani,zajednica,christian,protestant,55881383434,Tenja,0,,,,,,"[""datagovhr:vjerske-zajednice""]"
5,gospicko-senjska-biskupija,Gospićko-senjska Biskupija,biskupija,christian,roman_catholic,78514984452,Gospić,85,8210.2,71261,501,162,,"[""datagovhr:katolicke-pravne-osobe""]"
28,hinduisticka-vjerska-zajednica-hrvatske,Hinduistička Vjerska Zajednica Hrvatske,zajednica,hindu,hindu,11003498038,Zagreb,0,,,,,,"[""datagovhr:vjerske-zajednice""]"
43,hrvatska-starokatolicka-crkva,Hrvatska Starokatolička Crkva,zajednica,christian,old_catholic,40998876180,Zagreb,2,,,,,,"[""datagovhr:vjerske-zajednice""]"
67,hrvatska-zajednica-crkve-isusa-krista-svetaca-posljednjih-dana,Hrvatska Zajednica Crkve Isusa Krista Svetaca Posljednjih Dana,zajednica,christian,protestant,85471722036,Zagreb,0,,,,,,"[""datagovhr:vjerske-zajednice""]"
13,hvarska-biskupija,Hvarska Biskupija,biskupija,christian,roman_catholic,22098012510,Hvar,46,806.7,27815,71,62,,"[""datagovhr:katolicke-pravne-osobe""]"
59,islamska-zajednica-u-hrvatskoj,Islamska Zajednica u Hrvatskoj,zajednica,muslim,sunni,38190246619,Zagreb,5,,,,,,"[""datagovhr:vjerske-zajednice""]"
41,jehovini-svjedoci-krscanska-vjerska-zajednica,Jehovini Svjedoci - Kršćanska Vjerska Zajednica,zajednica,christian,jehovahs_witness,41025385791,Zagreb,0,,,,,,"[""datagovhr:vjerske-zajednice""]"
70,katolicka-stara-crkva,Katolička Stara Crkva,zajednica,christian,protestant,88385037011,Zagreb,5,,,,,,"[""datagovhr:vjerske-zajednice""]"
30,koordinacija-zidovskih-opcina-u-republici-hrvatskoj,Koordinacija Židovskih Općina u Republici Hrvatskoj,zajednica,jewish,jewish,48684766248,Zagreb,0,,,,,,"[""datagovhr:vjerske-zajednice""]"
47,kristova-duhovna-crkva,Kristova Duhovna Crkva,zajednica,christian,pentecostal,44772456851,Zagreb,0,,,,,,"[""datagovhr:vjerske-zajednice""]"
66,kristova-duhovna-crkva-malokrstenih,"Kristova Duhovna Crkva ""malokrštenih""",zajednica,christian,pentecostal,04942895005,Zagreb,0,,,,,,"[""datagovhr:vjerske-zajednice""]"
19,kristove-crkve-u-hrvatskoj,Kristove Crkve u Hrvatskoj,zajednica,christian,protestant,39404217854,Zagreb,15,,,,,,"[""datagovhr:vjerske-zajednice""]"
16,krizevacka-eparhija,Križevačka Eparhija,biskupija,christian,roman_catholic,,,35,,,,,,"[""datagovhr:katolicke-pravne-osobe""]"
35,krscanska-adventisticka-crkva-u-republici-hrvatskoj,Kršćanska Adventistička Crkva u Republici Hrvatskoj,zajednica,christian,adventist,56794233417,Zagreb,106,,,,,,"[""datagovhr:vjerske-zajednice""]"
33,krscanska-nazarenska-vjerska-zajednica-hrvatske,Kršćanska Nazarenska Vjerska Zajednica Hrvatske,zajednica,,,44521307608,Kotlina,6,,,,,,"[""datagovhr:vjerske-zajednice""]"
31,krscanska-neopentekostalna-crkva-u-republici-hrvatskoj,Kršćanska Neopentekostalna Crkva u Republici Hrvatskoj,zajednica,christian,pentecostal,06229364734,Zagreb,0,,,,,,"[""datagovhr:vjerske-zajednice""]"
42,krscanska-prorocka-crkva-isus-je-kralj,"Kršćanska Proročka Crkva ""isus Je Kralj""",zajednica,christian,protestant,45691838035,Zagreb,0,,,,,,"[""datagovhr:vjerske-zajednice""]"
48,makedonska-pravoslavna-crkva-u-hrvatskoj,Makedonska Pravoslavna Crkva u Hrvatskoj,zajednica,christian,macedonian_orthodox,99789985342,Zagreb,4,,,,,,"[""datagovhr:vjerske-zajednice""]"
