id,slug,naziv,kratki_naziv,vrsta,titular,oib,biskupija,zajednica,religija,konfesija,adresa,mjesto,zupanija,lat,lng,izvor_koordinata,evidencijski_broj,status,duplikat_od,datum_upisa,sluzba,telefon,email,web,google_karta,broj_gradjevina,zupna_crkva,zupna_crkva_slug,izvori
1908,druzba-sestara-milosrdnica-svetog-vinka-paulskog-provincija-majke-dobrog-savjeta-rijeka-samostan-srca-marijina-baska-7242,"DRUŽBA SESTARA MILOSRDNICA SVETOG VINKA PAULSKOG, PROVINCIJA MAJKE DOBROG SAVJETA RIJEKA, SAMOSTAN SRCA MARIJINA BAŠKA","Družba Sestara Milosrdnica Svetog Vinka Paulskog, Provincija Majke Dobrog Savjeta Rijeka, Samostan Srca Marijina Baška",samostan,,74719197242,,,christian,roman_catholic,KRALJA TOMISLAVA  1,Baška,Primorsko-goranska,44.97889383638622,14.780247064281937,naselje-centroid,1.2067,AKTIVAN,,2019-02-22,Predstojnica,,,,,0,,,"[""datagovhr:katolicke-pravne-osobe""]"
1940,druzba-sestara-milosrdnica-svetog-vinka-paulskog-provincija-majke-dobrog-savjeta-rijeka-samostan-sv-lujze-veli-losinj-8330,"DRUŽBA SESTARA MILOSRDNICA SVETOG VINKA PAULSKOG, PROVINCIJA MAJKE DOBROG SAVJETA RIJEKA, SAMOSTAN SV. LUJZE VELI LOŠINJ","Družba Sestara Milosrdnica Svetog Vinka Paulskog, Provincija Majke Dobrog Savjeta Rijeka, Samostan sv. Lujze Veli Lošinj",samostan,,90954328330,,,christian,roman_catholic,SLAVOJNA 6,Veli Lošinj,Primorsko-goranska,44.5009129993612,14.5101471514003,naselje-centroid,1.2066,AKTIVAN,,2019-02-22,Predstojnica,,,,,0,,,"[""datagovhr:katolicke-pravne-osobe""]"
1921,druzba-sestara-milosrdnica-svetog-vinka-paulskoga-provincija-majke-dobrog-savjeta-rijeka-samostan-dobrog-savjeta-pula-7547,"DRUŽBA SESTARA MILOSRDNICA SVETOG VINKA PAULSKOGA, PROVINCIJA MAJKE DOBROG SAVJETA RIJEKA, SAMOSTAN DOBROG SAVJETA PULA","Družba Sestara Milosrdnica Svetog Vinka Paulskoga, Provincija Majke Dobrog Savjeta Rijeka, Samostan Dobrog Savjeta Pula",samostan,,40416707547,,,christian,roman_catholic,Ivana Rabara 9,Pula,Istarska,44.87390412854297,13.856880755357496,naselje-centroid,1.2064,AKTIVAN,,2018-09-04,Predstojnica,,,,,0,,,"[""datagovhr:katolicke-pravne-osobe""]"
1882,franjevacki-duhovni-centar-zagreb-8408,FRANJEVAČKI DUHOVNI CENTAR,Franjevački Duhovni Centar,ostalo,,67503318408,,,christian,roman_catholic,PRIGORNICA 2,Zagreb,Grad Zagreb,45.83187302388278,15.977892800834798,naselje-centroid,1.2065,AKTIVAN,,2018-12-06,Voditelj,,,,,0,,,"[""datagovhr:katolicke-pravne-osobe""]"
1857,franjevacki-samostan-gospe-od-milosti-hvar-8777,FRANJEVAČKI SAMOSTAN GOSPE OD MILOSTI,Franjevački Samostan Gospe od Milosti,samostan,,11236858777,,,christian,roman_catholic,Šetalište put Križa 15,Hvar,Splitsko-dalmatinska,43.1682428,16.4430641,church,1.2099,AKTIVAN,,2022-04-12,Gvardijan,099 328 8978,,http://www.ofm-sv-jeronim.hr/tko-smo-mi/samostani/hvar/,https://maps.google.com/?cid=16700817185587904133&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1,Franjevački samostan,franjevacki-samostan-hvar-r2135584,"[""datagovhr:katolicke-pravne-osobe"", ""places""]"
1875,karmelski-samostan-sv-terezije-od-isusa-gospic-1850,KARMELSKI SAMOSTAN SV. TEREZIJE OD ISUSA,Karmelski Samostan sv. Terezije od Isusa,samostan,,64106671850,,,christian,roman_catholic,Kaniška ulica 1,Gospić,Ličko-senjska,44.5456642,15.3755925,places,1.2105,AKTIVAN,,2022-10-27,prior ili vikar,,,,https://maps.google.com/?cid=1806816589898156946&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,0,,,"[""datagovhr:katolicke-pravne-osobe"", ""places""]"
2092,marijin-dom-sluzavke-malog-isusa-vinkovci-0073,"SAMOSTAN MARIJIN DOM, SLUŽAVKE MALOG ISUSA","Samostan Marijin Dom, Služavke Malog Isusa",samostan,,77712620073,,,christian,roman_catholic,Pavleka Miškina 33,Vinkovci,Vukovarsko-srijemska,45.286285899999996,18.809581899999998,places,1.2109,AKTIVAN,,2024-03-19,Predstojnica,032 363 238,,,https://maps.google.com/?cid=6813583256962144336&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,0,,,"[""datagovhr:katolicke-pravne-osobe"", ""places""]"
1865,sv-ane-varazdin-9744,ŽUPA SV. ANE,sv. Ane,zupa,sv. Ana,97524639744,,,christian,roman_catholic,TRG SLOBODE 11,Varaždin,Varaždinska,46.306696099999996,16.3363896,places,1.2101,AKTIVAN,,2022-07-06,Župnik,042 212 412,,http://www.zupa-sv-nikole-varazdin.hr/,https://maps.google.com/?cid=18294521856540368959&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,0,,,"[""datagovhr:katolicke-pravne-osobe"", ""places""]"
2967,mjesno-duhovno-vijece-baha-ija-rijeke-rijeka-4419,MJESNO DUHOVNO VIJEĆE BAHÁ'ÍJA RIJEKE,Mjesno Duhovno Vijeće Bahá'íja Rijeke,ostalo,,86559224419,Bahá´í Zajednica Hrvatske,Bahá´í Zajednica Hrvatske,,,Kvaternikova 35,Rijeka,Primorsko-goranska,45.344622174533875,14.430568653101922,naselje-centroid,12.3,AKTIVNA,,2017-09-18,GLAVNI TAJNIK,,,,,0,,,"[""datagovhr:vjerske-zajednice""]"
2807,mjesno-duhovno-vijece-baha-ija-velike-gorice-velika-gorica-0905,MJESNO DUHOVNO VIJEĆE BAHÁ'ÍJA VELIKE GORICE,Mjesno Duhovno Vijeće Bahá'íja Velike Gorice,ostalo,,61853970905,Bahá´í Zajednica Hrvatske,Bahá´í Zajednica Hrvatske,,,Radićev odvojak 22,Velika Gorica,Zagrebačka,45.70754650871221,16.063191324089484,naselje-centroid,12.2,AKTIVNA,,2015-02-03,Predstavnik,,,,,0,,,"[""datagovhr:vjerske-zajednice""]"
